"","Sample_1S10","Sample_1S11","Sample_1S12","Sample_1S13","Sample_1S14","Sample_1S15","Sample_1S16","Sample_1S17","Sample_1S18","Sample_1S19","Sample_1S1","Sample_1S20","Sample_1S21","Sample_1S22","Sample_1S23","Sample_1S24","Sample_1S25","Sample_1S2","Sample_1S3","Sample_1S4","Sample_1S5","Sample_1S6","Sample_1S7","Sample_1S8","Sample_1S9","Sample_2S10","Sample_2S11","Sample_2S12","Sample_2S13","Sample_2S14","Sample_2S15","Sample_2S16","Sample_2S17","Sample_2S18","Sample_2S19","Sample_2S1","Sample_2S20","Sample_2S21","Sample_2S22","Sample_2S23","Sample_2S24","Sample_2S25","Sample_2S2","Sample_2S3","Sample_2S4","Sample_2S5","Sample_2S6","Sample_2S7","Sample_2S8","Sample_2S9","Sample_3S10","Sample_3S11","Sample_3S12","Sample_3S13","Sample_3S14","Sample_3S15","Sample_3S16","Sample_3S17","Sample_3S18","Sample_3S19","Sample_3S1","Sample_3S20","Sample_3S21","Sample_3S22","Sample_3S23","Sample_3S24","Sample_3S25","Sample_3S2","Sample_3S3","Sample_3S4","Sample_3S5","Sample_3S6","Sample_3S7","Sample_3S8","Sample_3S9","Sample_4S10","Sample_4S11","Sample_4S12","Sample_4S13","Sample_4S14","Sample_4S15","Sample_4S16","Sample_4S17","Sample_4S18","Sample_4S19","Sample_4S1","Sample_4S20","Sample_4S21","Sample_4S22","Sample_4S23","Sample_4S24","Sample_4S25","Sample_4S2","Sample_4S3","Sample_4S4","Sample_4S5","Sample_4S6","Sample_4S7","Sample_4S9","Sample_N10","Sample_N11","Sample_N12","Sample_N13","Sample_N14","Sample_N15","Sample_N16","Sample_N17","Sample_N18","Sample_N19","Sample_N1","Sample_N20","Sample_N21","Sample_N22","Sample_N23","Sample_N24","Sample_N25","Sample_N26","Sample_N27","Sample_N28","Sample_N29","Sample_N2","Sample_N30","Sample_N31","Sample_N32","Sample_N33","Sample_N34","Sample_N35","Sample_N36","Sample_N37","Sample_N38","Sample_N39","Sample_N3","Sample_N40","Sample_N41","Sample_N42","Sample_N43","Sample_N44","Sample_N45","Sample_N46","Sample_N47","Sample_N48","Sample_N49","Sample_N4","Sample_N50","Sample_N5","Sample_N6","Sample_N7","Sample_N8","Sample_N9","Sample_Pan01","Sample_Pan02","Sample_Pan03","Sample_Pan04","Sample_Pan05","Sample_Pan06","Sample_PC10","Sample_PC11","Sample_PC12","Sample_PC13","Sample_PC14","Sample_PC15","Sample_PC16","Sample_PC17","Sample_PC18","Sample_PC19","Sample_PC1","Sample_PC20","Sample_PC21","Sample_PC22","Sample_PC23","Sample_PC24","Sample_PC25","Sample_PC26","Sample_PC27","Sample_PC28","Sample_PC29","Sample_PC2","Sample_PC30","Sample_PC31","Sample_PC32","Sample_PC33","Sample_PC34","Sample_PC35","Sample_PC36","Sample_PC3","Sample_PC4","Sample_PC5","Sample_PC6","Sample_PC7","Sample_PC8","Sample_PC9"
"ENST00000254101.3|PRKAB2-201|17439",0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,3,0,1,1,1,0,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,3,0,2,1,3,0,4,2,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,2,1,1,0,2,3,1,0,1,1,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,4,0
"ENST00000234739.7|BCL9-201|84805",1,0,1,0,0,0,0,1,0,0,2,2,1,1,1,1,3,0,1,1,2,1,1,2,1,0,2,0,0,0,0,1,3,0,1,0,1,1,0,1,1,1,0,3,0,0,1,0,0,1,1,0,1,1,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,2,0,0,1,2,1,2,2,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,4,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,2,0,1,1,0,1,1,0,0,2,4,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,1,1,0,4,5,1,1,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,4,0,0,0,0,0
"ENST00000612094.1|PDE4DIP-239|42942",1,1,2,0,3,1,0,1,0,0,2,1,0,0,2,2,2,0,0,2,1,2,1,0,0,1,0,2,0,0,2,3,3,1,0,1,1,1,0,0,1,2,4,2,3,1,0,0,1,1,1,2,2,0,1,1,1,1,3,1,0,0,0,0,1,0,1,2,1,0,0,1,0,0,1,3,0,0,0,0,2,4,3,2,2,1,0,0,0,1,1,1,4,0,2,3,1,0,2,1,0,6,1,0,1,2,0,1,5,2,2,2,0,0,0,2,2,1,0,2,0,1,0,2,1,1,1,0,2,1,0,2,1,0,1,0,2,0,0,1,1,2,1,0,1,3,3,3,2,0,0,1,0,0,1,1,0,1,2,0,1,0,1,1,3,1,0,0,0,0,0,0,1,0,1,2,1,0,2,1,3,0,2,1,0,0,2,0,1,5,1
"ENST00000611593.1|NBPF9-204|6872",0,0,1,0,1,0,0,2,0,1,0,1,0,3,0,1,0,0,1,0,0,0,0,1,0,0,2,0,1,1,0,2,1,1,1,0,0,0,1,1,0,3,2,2,0,3,0,1,1,3,5,1,6,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,6,2,4,0,0,4,0,3,0,2,0,0,0,1,1,0,2,1,0,1,1,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,2,3,6,2,0,0,0,0,2,1,3,1,0,4,0,0,2,0,1,2,2,0,0,0,1,0,1,2,1,1,0,1,0,0,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"ENST00000621744.4|NBPF19-206|165739",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,4,2,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,2,1,2,0,0,1,0,0,2,0,0,0,5,0,0,1,0,0,1,1,2,0,2,0,0,2,1,0,0,1,1,0,1,2,1,1,4,1,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,4,0,0
"ENST00000369158.1|HIST2H3C-201|1656",0,0,0,0,0,2,0,1,1,1,1,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,3,6,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,1,1,0,1,0,0,1,0,1,0,1,4,1,0,1,0,0,0,2,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0
"ENST00000369159.2|HIST2H2AA3-201|549",1,0,0,2,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,2,1,2,5,0,2,0,0,0,0,0,0,1,3,2,0,0,2,1,1,4,1,1,1,0,0,0,1,1,1,2,2,0,0,0,0,0,4,1,2,0,3,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,2,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,3,2,1,0,2,0,1,1,1,0,0,0,0,1,1,0,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,1,1,1,0,1,2,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,4,0,1,1,0,1,1
"ENST00000607355.2|HIST2H2AA4-201|564",0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,2,0,2,0,0,1,2,0,0,1,2,0,1,1,3,2,0,2,1,2,0,0,0,2,1,0,1,1,0,1,0,0,0,1,1,1,0,0,3,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,1,1,2,1,1,1,0,0,0,1,1,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,3,1,0,0,3,3,0,0,0,1,1,0,0,4,0,0,0,0,0,0
"ENST00000369146.7|SV2A-202|14565",2,0,0,0,2,1,1,0,0,0,1,0,2,2,3,3,2,0,2,2,0,1,2,1,0,2,2,0,1,2,0,1,0,0,3,0,1,0,2,0,1,3,3,2,2,2,0,3,0,3,1,2,6,0,0,0,3,1,0,3,3,1,2,1,0,2,1,0,0,1,2,2,1,0,4,2,1,0,3,2,1,1,3,1,1,2,0,3,1,0,2,0,0,0,2,2,0,5,3,2,2,1,3,2,0,2,0,2,0,3,0,1,2,2,0,3,1,1,0,0,0,0,2,1,1,2,4,0,2,1,3,0,4,2,2,0,1,1,1,2,0,0,3,2,2,1,3,0,3,0,0,0,0,0,0,0,2,1,1,0,0,8,2,0,2,4,1,0,0,1,1,0,0,0,2,1,3,2,1,1,2,2,0,1,2,4,0,4,1,1,0
"ENST00000271628.8|SF3B4-201|5028",4,0,1,0,1,1,0,2,0,1,0,1,0,2,0,1,1,1,2,0,2,0,0,5,1,0,2,3,0,3,1,0,0,2,1,1,0,1,1,0,0,1,1,2,0,1,0,2,1,0,0,0,0,0,1,0,0,2,1,1,0,0,2,1,4,4,0,0,0,0,0,3,2,3,1,4,0,1,3,0,1,1,3,2,3,2,0,1,0,0,0,0,0,4,1,0,1,1,1,2,1,3,3,2,1,2,0,0,0,1,1,2,3,4,2,2,0,0,3,0,0,1,1,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,1,3,0,0,0,1,1,0,0,0,1,0,2,0,0,1,1,0,1,5,2,0,1,0,1,1,1,1,1,0,1,0,0,1,3,1,0,1,0,0,0,0,1,1,3,2,0,1,2,0,0
"ENST00000581312.5|OTUD7B-202|72865",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1,0,1,0,0,3,0,0,1,2,0,0,1,0,2,0,0,0,3,3,0,0,1,2,0,1,0,1,0,2,1,1,5,2,0,3,2,0,0,0,1,2,0,0,4,1,1,0,0,1,1,2,0,2,1,0,0,1,2,1,0,2,0,0,2,0,1,0,1,2,0,3,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,1,1,2,1,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,7,3,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,3,0,1,0,0
"ENST00000368985.7|CTSS-201|35762",3,3,0,1,2,1,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,4,2,5,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,4,1,2,2,1,1,0,0,2,0,0,1,0,0,3,0,0,4,0,0,0,2,1,0,1,0,1,2,2,2,2,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,4,0,0,4,2,1,4,0,0,1,0,0,1,1,0,0,0,0,0,1,4,1,3,1,0,0,2,0,0,0,4,1,1,0,2,0,3,0,0,0,2,3,1,0,1,1,1,0,0,0,0,2,3,1,3,2,0,1,0,1,2,0,1,0,4,1,3,1,3,1,0,1,0,1,3,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,3,0,2
"ENST00000481219.1|SETDB1-210|2615",1,0,1,1,3,1,2,4,4,1,5,0,2,0,0,0,2,8,3,1,6,0,3,5,1,0,0,0,0,1,2,0,1,1,2,2,0,4,0,3,1,6,1,5,1,5,2,4,1,4,0,0,2,2,0,0,3,3,4,1,4,1,4,1,0,1,3,8,5,5,5,4,0,2,3,3,0,1,1,1,1,6,2,4,3,3,0,2,1,2,1,2,0,4,1,3,0,1,0,7,7,4,5,3,4,9,1,9,11,5,4,5,5,9,2,2,2,1,3,0,3,0,0,1,4,3,4,2,3,1,1,1,3,2,2,2,2,0,3,0,0,3,7,4,5,2,3,3,4,2,0,1,0,0,2,4,2,3,1,3,0,0,0,5,2,12,2,2,4,4,2,2,3,2,2,0,4,3,4,1,2,4,2,2,10,0,3,5,7,4,1
"ENST00000368926.5|C1orf56-201|3681",11,17,38,9,14,13,12,22,13,16,17,15,13,12,19,10,24,22,26,14,18,9,17,29,23,38,38,47,16,13,10,9,7,12,12,7,13,21,11,14,12,16,20,22,11,9,24,23,9,18,29,33,32,19,24,24,18,8,9,11,15,12,17,5,13,21,12,34,26,4,16,11,19,27,23,45,19,31,9,9,20,12,18,20,12,23,25,11,13,8,12,9,16,40,12,12,10,31,20,4,19,22,4,18,14,15,20,26,20,12,19,16,19,21,33,8,8,12,7,10,15,21,13,5,23,16,14,21,14,11,8,18,21,12,23,10,9,21,14,19,8,15,17,24,21,32,18,11,14,6,1,6,7,9,7,16,10,13,23,28,43,28,28,15,17,20,24,19,11,16,13,13,13,20,12,18,18,17,17,21,10,14,15,17,24,37,52,37,11,19,12
"ENST00000368921.4|MLLT11-201|10740",1,6,1,1,1,3,2,2,2,0,2,2,2,6,1,0,1,1,2,2,2,0,6,1,2,0,0,1,2,1,1,1,0,2,1,2,0,1,2,0,0,0,1,1,0,4,1,2,3,2,2,1,3,3,2,1,1,3,2,0,3,0,4,0,0,0,2,2,2,1,7,5,1,5,0,0,2,2,2,1,3,0,3,5,0,2,0,1,2,1,0,3,1,1,3,4,1,2,1,2,2,0,1,1,0,1,1,2,0,0,2,0,0,3,4,1,3,1,3,0,1,0,2,1,5,4,1,1,0,0,1,0,2,0,1,1,3,0,0,0,2,2,0,1,1,5,1,0,3,1,0,0,0,0,1,2,0,0,0,3,3,0,2,0,0,4,1,1,2,4,0,2,2,1,3,1,2,2,1,3,0,3,4,2,1,1,1,3,1,0,1
"ENST00000473377.5|CGN-206|4553",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,19,0,10,0,0,0,0,0,0,0,0,43,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,6,0,1,0,0,0,0,0,0,13,0,0,2,0,0,5,1,0,0,21,0,0,0,0,5,0,0,0,0,0,0,0,16,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
"ENST00000326413.7|RIIAD1-201|19174",0,1,2,2,0,0,0,5,1,6,0,4,1,4,6,4,1,3,5,3,4,0,2,1,6,3,5,4,3,1,1,0,3,7,4,0,2,3,2,1,1,2,5,4,0,3,3,4,0,1,0,8,8,3,3,1,4,1,2,4,3,2,5,2,2,0,2,5,6,1,4,1,3,1,5,4,3,2,3,3,1,2,1,7,6,2,1,1,4,2,2,2,3,6,1,1,1,0,3,1,3,2,3,2,2,5,1,2,3,3,2,1,3,2,1,4,1,3,1,2,2,2,1,2,2,1,3,0,0,3,1,1,2,3,1,1,6,5,2,4,4,2,1,2,3,2,2,2,2,1,0,1,0,3,1,2,3,3,5,2,4,6,2,5,0,1,0,1,3,1,4,3,1,3,1,0,3,4,3,0,1,3,1,3,2,5,6,6,1,2,4
"ENST00000368811.7|S100A10-202|11476",15,16,26,2,5,5,6,7,6,4,20,12,8,6,7,3,12,13,7,7,3,11,6,9,7,20,25,24,3,7,9,6,6,2,10,10,9,8,9,11,8,12,23,15,0,9,14,15,6,5,14,14,35,7,17,12,9,7,8,4,17,2,1,7,5,2,3,19,20,20,13,9,12,17,19,31,10,19,6,6,6,2,2,10,8,18,3,1,8,1,4,8,5,26,11,5,14,23,18,14,12,6,6,5,7,11,9,17,5,11,9,6,8,12,21,3,8,4,6,6,11,12,11,2,2,6,9,3,1,8,6,16,8,6,3,3,9,6,1,9,2,21,15,15,16,20,11,7,15,3,1,5,2,3,3,6,12,11,16,14,14,15,16,19,12,16,17,5,6,7,10,14,10,9,6,9,8,7,10,8,8,6,6,5,17,21,31,17,18,5,12
"ENST00000368799.1|FLG-201|23029",4,2,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,2,3,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,3,0,2,0,2,6,3,0,1,0,2,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,2,5,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,5,2,3,0,1,2,0,0,1,0,1,0,0,3,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,2,1
"ENST00000388718.5|FLG2-201|11272",0,0,0,0,0,1,2,1,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,2,0,3,1,0,0,7,1,1,2,0,0,2,1,0,0,0,0,1,1,0,2,2,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,2,1,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,5,4,1,0,1,1,1,0,2,0,2,1,3,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,3,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,1,2,3,0,1,0,0,0,1,0,3,1,0,0,0,1,0,0,1,1,0,2,0,0,1,0,0,1,2,1,0,0,3,1,1
"ENST00000368738.3|S100A9-201|3174",0,0,2,0,1,1,0,0,0,0,0,0,0,1,9,0,1,0,0,0,0,1,1,2,0,1,0,0,1,1,0,2,0,0,2,1,3,2,1,5,0,0,0,0,0,5,1,0,0,9,8,0,12,0,0,0,1,2,2,0,16,1,0,0,0,1,0,1,4,3,1,0,0,1,1,3,1,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,0,0,1,0,3,1,1,4,2,0,0,0,1,0,1,6,1,1,0,3,0,2,2,0,0,1,0,2,0,2,0,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,3,0,1,2,0,5,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,1,1,0,0,0,1,2
"ENST00000368713.7|S100A3-202|2044",0,0,0,0,0,1,0,2,2,0,1,1,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,1,1,2,3,1,0,2,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,2,0,0,1,2,2,0,1,0,0,3,1,1,0,0,1,1,0,0,1,1,2,0,0,2,0,1,1,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,4,2,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,3,1,0,0,0
"ENST00000368655.4|GATAD2B-201|118251",4,4,3,1,0,0,2,2,0,0,5,0,3,0,2,0,0,1,1,5,5,3,2,2,2,2,4,2,1,2,0,0,0,0,1,1,2,1,0,1,0,2,2,3,2,4,3,0,3,2,1,0,1,1,1,1,1,1,1,0,0,1,0,3,1,0,2,3,3,1,4,4,1,0,1,1,3,0,1,0,1,1,1,0,1,2,2,0,0,1,0,5,0,0,2,4,3,2,2,2,1,1,0,2,5,1,3,1,2,1,1,2,3,0,5,1,0,1,0,2,1,1,3,2,1,1,0,0,1,3,0,0,2,2,1,0,0,1,2,2,1,0,2,0,2,0,1,2,1,1,0,1,1,0,1,9,6,2,2,2,1,1,2,6,1,1,1,2,0,2,1,2,0,2,2,1,2,1,0,0,0,1,1,2,2,3,1,1,3,7,2
"ENST00000484819.1|UBAP2L-216|3244",0,2,0,1,0,0,2,2,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,3,0,0,1,2,0,0,0,1,1,0,0,0,2,1,1,0,4,0,4,0,0,0,1,0,0,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,2,2,1,0,1,2,1,0,0,1,2,1,1,3,0,0,0,0,0,0,3,1,1,0,2,0,0,0,1,0,2,2,0,1,1,0,1,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,1,0,2,0,0,0,0,1,1,1,1,1,0,1,1,1,1,3,1,3,1,1,2,0,0,0,1,0,0,2,0,1,0,0,3,1,0,0,1,2,1,0,1,0,0,3,0,0,2,1,0,0,2,0,0,0,1,0,0,0,4,2,0,0,2
"ENST00000368489.3|ATP8B2-202|23508",0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,2,1,0,1,1,0,0,2,1,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,1,0,1,2,0,2,1,1,2,1,1,0,0,0,0,2,0,0,0,2,3,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,3,0,0,3,0,0,0,1,2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,1,0,0,0,1,0,1,1,0,2,0
"ENST00000490672.1|KRTCAP2-207|3897",1,1,0,0,0,2,0,3,2,1,0,1,0,1,0,1,0,1,0,0,1,0,2,0,2,1,0,1,2,2,0,0,0,1,3,1,2,2,0,1,1,0,0,0,0,0,0,0,2,0,1,3,0,3,0,0,0,1,2,0,1,1,0,0,1,0,2,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,2,0,2,1,2,1,0,0,0,2,1,0,1,1,0,0,0,1,1,0,1,1,2,1,3,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,2,0,1,0,0,1,0,0,0,2,1,0,1,0,1,3,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,0,2,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,2,1,1,1,1
"ENST00000368324.4|SYT11-201|25691",1,7,2,3,3,1,6,3,1,3,2,1,2,0,2,1,2,4,0,2,4,5,5,3,3,4,1,1,4,6,2,3,4,5,5,2,1,6,4,6,2,5,2,0,4,6,3,3,2,2,4,4,8,0,4,2,2,6,2,0,3,2,1,4,6,3,3,10,3,4,2,0,3,3,2,2,1,3,2,2,2,3,3,2,1,1,2,5,5,0,1,3,1,4,9,0,3,6,6,1,6,0,4,3,6,4,6,4,1,2,2,2,8,4,2,2,2,2,2,3,3,3,5,2,4,3,2,8,5,3,4,1,3,3,0,0,4,2,3,3,4,2,2,5,4,8,4,3,3,1,0,3,1,0,2,1,1,6,6,2,2,2,2,1,4,5,4,1,2,1,4,5,1,3,0,0,3,1,0,1,0,3,0,4,4,3,6,9,2,6,1
"ENST00000368309.3|UBQLN4-201|18494",0,0,0,0,1,0,1,0,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,2,1,0,1,1,3,1,0,0,1,1,0,0,0,0,1,0,1,2,2,2,1,1,0,0,1,0,0,2,0,2,1,0,1,3,0,0,0,1,1,0,1,0,0,0,1,2,1,0,0,0,1,1,0,1,0,0,0,2,2,1,0,1,0,0,1,0,1,0,1,0,0,1,1,3,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,3,1,0,1,3,1,1,0,0,3,1,0,0,1,0,0,0,0,1,3,0,1,1,0,1,2,0,1,2,2,3,1,2,1,1,1,1,0,1,0,0,1,2,0,0,0,1,1,1,0,1,1,1,0
"ENST00000532414.2|MEX3A-202|9986",1,0,1,1,2,0,0,0,0,1,2,1,3,1,0,1,1,0,0,1,2,0,1,0,1,1,0,3,1,1,1,2,0,0,0,2,1,1,0,1,0,1,0,0,2,0,1,2,0,2,4,0,2,0,0,2,0,0,0,1,4,0,1,1,0,0,0,3,2,1,0,0,1,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,1,3,0,0,2,0,0,0,2,1,2,1,1,1,0,3,0,2,0,0,2,3,0,0,0,0,1,0,1,0,0,2,1,0,2,0,1,1,1,0,0,2,0,1,3,1,0,0,0,6,2,0,0,1,1,0,2,0,0,0,0,0,0,2,3,0,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,0,1,3,3,0,0,0,1,0,2,1,1,2,2,3,0,0,3
"ENST00000470306.5|SEMA4A-212|4155",0,1,0,5,1,1,5,2,2,2,3,4,1,1,1,0,4,6,5,0,0,0,1,0,4,1,1,0,2,3,0,2,1,6,3,1,3,4,0,0,0,2,2,2,0,0,0,1,1,0,1,0,0,0,2,1,4,2,3,2,3,2,3,0,2,4,2,1,3,0,0,0,3,10,3,0,1,0,1,2,0,3,2,3,5,7,2,0,2,0,3,2,4,4,0,0,0,0,0,6,0,2,6,3,4,4,1,1,2,2,4,3,0,2,3,2,1,1,4,1,1,4,1,3,1,3,2,5,2,1,4,3,3,2,0,0,3,4,1,0,2,0,6,4,1,0,5,0,3,0,3,1,2,2,0,1,0,0,0,0,0,0,0,11,4,2,2,4,4,2,1,3,1,7,1,2,3,5,4,0,0,3,0,5,2,4,1,1,0,0,0
